farmID,groveID,groveName,zoneID,area,plantedArea,geometry,updatedAt,commodity,siteID,irrigation,originalPlantYear,rootStock,spacing,spacing_row_m,spacing_tree_m,spacing_row_ft,spacing_tree_ft,variety,subCommodity,commodityCombinations,regionName
-M10bh7QzD0QV2JgY8YP,-M7W9wE6B19ny_zrESqV,A1,-M10cz2RwAIdL9bnX7tK,33.66914655491069,,"POLYGON((-120.44032101613 36.4869886111238, -120.437789298897 36.4869740397428, -120.437803885743 36.4903857785431, -120.443280023062 36.4904301686059, -120.44032101613 36.4869886111238))",2022-08-01 20:03:29+00:00,Almonds,,,,,,,,,,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-M10bh7QzD0QV2JgY8YP,-M7WARQVJ9ePULVd4uh-,A2,-M10cz2RwAIdL9bnX7tK,31.420538849327993,,"POLYGON((-120.43407542869 36.4903719521181, -120.437817524544 36.4903858364186, -120.437817286843 36.4869807747526, -120.434062737096 36.486967070459, -120.43407542869 36.4903719521181))",2022-08-01 20:03:29+00:00,Almonds,,,,,,,,,,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-M10bh7QzD0QV2JgY8YP,-M7WBBFJZDdhvu3ALCmo,A3,-M10cz2RwAIdL9bnX7tK,37.71490852839206,,"POLYGON((-120.434089273383 36.4943495047395, -120.437887300869 36.494349714365, -120.43787939675 36.4903265037774, -120.434074220279 36.4903127529379, -120.434089273383 36.4943495047395))",2022-08-01 20:03:29+00:00,Almonds,,,,,,,,,,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-M10bh7QzD0QV2JgY8YP,-M7WBcdwLjHUy9BLbbtx,A4,-M10cz2RwAIdL9bnX7tK,53.73080979234634,,"POLYGON((-120.443174332367 36.4943854927321, -120.443195440681 36.4903362055452, -120.43780170341 36.4902858118095, -120.437809932415 36.4943516505633, -120.443174332367 36.4943854927321))",2022-08-01 20:03:29+00:00,Almonds,,,,,,,,,,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-MbjSkSsS7OjaNRTni_3,-MbjV495_1PS71e75bUn,W,-MbjUbiqJJegScXT7X4_,163.05026077274883,161.87631454222466,"POLYGON((-119.080672514016 35.7473737986216, -119.071706706206 35.7474028081565, -119.071707267536 35.7547517549911, -119.080643162797 35.7546852365519, -119.080672514016 35.7473737986216))",2022-08-01 20:03:29+00:00,Pistachio,Quinn-W,{'Double Drip Lines': True},1997-1998,,"{'ft': {'row': 20, 'tree': 15}, 'm': {'row': 6, 'tree': 4.5}}",6.0,4.5,20.0,15.0,Kerman,Pistachio,4763fe295d5f68978c93fa7d88892a526d7e14ddef529ef077e2b6686d425b5e,California
-MbjSkSsS7OjaNRTni_3,-MbjV495_1PS71e75bUo,E,-MbjUbiqJJegScXT7X4_,162.44631518132775,157.37413649608106,"POLYGON((-119.07176164696 35.7473935623751, -119.062855405956 35.7474765869371, -119.062884989784 35.754845208479, -119.071708559132 35.7547726949991, -119.07176164696 35.7473935623751))",2022-08-01 20:03:29+00:00,Pistachio,Quinn-E,{'Double Drip Lines': True},2000,,"{'ft': {'row': 20, 'tree': 16}, 'm': {'row': 6, 'tree': 4.8}}",6.0,4.8,20.0,16.0,Kerman,Pistachio,4763fe295d5f68978c93fa7d88892a526d7e14ddef529ef077e2b6686d425b5e,California
-MbjSkSsS7OjaNRTni_3,-Mbpt2mwgmsB-vymGueu,1,-MbpstIH1VhPjsi4oFKi,20.952473368473886,17.380312974647325,"POLYGON((-119.062850530987 35.7527236439635, -119.058979458112 35.7527585738637, -119.058749808801 35.7532907385172, -119.059063092554 35.7538970807863, -119.059926157078 35.7540278663423, -119.059974423968 35.756446886241, -119.060686691409 35.7564927410299, -119.060699934152 35.7547341155122, -119.062920191943 35.7547385726063, -119.062850530987 35.7527236439635))",2022-08-01 20:03:29+00:00,Pistachio,Hataway-1,{'Double Drip Lines': True},2011,,"{'ft': {'row': 20, 'tree': 16}, 'm': {'row': 6, 'tree': 4.8}}",6.0,4.8,20.0,16.0,Golden Hills,Pistachio,de558e069c08c72eae66db3b76750db3e92146c62d46e1b397963cc73f870a6d,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKANURLBaeqHL9Oh,15,-MWz-6cQpcSrRHWmnLR_,62.07680611077764,,"POLYGON((-120.189157342841 36.7854732640067, -120.186894171222 36.7812778730744, -120.183036635878 36.7855325955598, -120.182649861189 36.787447813845, -120.182289731878 36.7898173594367, -120.184136473562 36.7891923551079, -120.186157150091 36.7866347335068, -120.189157342841 36.7854732640067))",2022-08-01 20:03:29+00:00,Pistachio,15,{'Double Drip Lines': True},2004,UCB-1,"{'ft': {'row': 18, 'tree': 15}, 'm': {'row': 5.4, 'tree': 4.5}}",5.4,4.5,18.0,15.0,Kerman,Pistachio,77e20e612d63c88b58a7aa9038354a2f16b94f41fab46f61d78c96f03615d8d9,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKAKIgv6ip-chrrK,1,-MWz-6cQpcSrRHWmnLR_,43.676280965535035,,"POLYGON((-120.174795911279 36.8074028089916, -120.174920668209 36.8071635082705, -120.172968787931 36.8037335638555, -120.172095344483 36.8041658747166, -120.168887119578 36.8044297996124, -120.168845806716 36.8077718518884, -120.173024114165 36.8074742003645, -120.174795911279 36.8074028089916))",2022-08-01 20:03:29+00:00,Pistachio,1,{'Double Drip Lines': True},2013,UCB-1,"{'ft': {'row': 18, 'tree': 16}, 'm': {'row': 5.4, 'tree': 4.8}}",5.4,4.8,18.0,16.0,Kerman,Pistachio,77e20e612d63c88b58a7aa9038354a2f16b94f41fab46f61d78c96f03615d8d9,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKAKIgv6ip-chrrL,12,-MWz-6cQpcSrRHWmnLR_,74.01364793769673,,"POLYGON((-120.198396065608 36.7872715894693, -120.197583900017 36.7830626007697, -120.195153236438 36.7810271554494, -120.192256688594 36.7818839118712, -120.193273914207 36.7851689338576, -120.193531302719 36.7883082459159, -120.194340327348 36.7880292864377, -120.194554745581 36.7882871389213, -120.198396065608 36.7872715894693))",2022-08-01 20:03:29+00:00,Pistachio,12,{'Double Drip Lines': True},2012,UCB-1,"{'ft': {'row': 18, 'tree': 16}, 'm': {'row': 5.4, 'tree': 4.8}}",5.4,4.8,18.0,16.0,Kerman,Pistachio,77e20e612d63c88b58a7aa9038354a2f16b94f41fab46f61d78c96f03615d8d9,California
